product_name,category,sub_category,brand,price,description
PreCip Rain Jacket - Men's,mens-clothing,mens-jackets,Marmot,69.93,"Don't just beat the rain; enjoy it with the men's Marmot PreCip Rain Jacket. New Marmot NanoPro&#8482; fabric is waterproof, windproof and more breathable than ever before."
Who Pooped in the Cascades? Scat and Tracks for Kids,books-and-maps,kids-books,None,11.95,"<i>Who Pooped in the Cascades? Scat and Tracks for Kids</i> is a fun picture book that follows a family adventure as the kids find scat, tracks and the animals that made them."
ColdPack Ice+ Winter Shoes - Men's,footwear,shoes,Merrell,79.83,"Winter weather doesn't stand a chance when you slip your feet into the Merrell ColdPack Ice+ shoes. Enjoy reliable traction, warm fleece linings and waterproof protection for icy weather."
Mountaineer Socks,footwear,socks,Smartwool,23.95,"High-performance Smartwool Mountaineer socks are designed for maximum comfort, protection and warmth over extended periods."
Moc Slippers - Men's,footwear,slippers,Acorn,20.83,"Offering cloudlike comfort underfoot, Acorn Moc slippers have soft, cozy fleece uppers, moisture-wicking fleece linings, Cloud Cushion&#8482; memory foam footbeds and nonslip indoor/outdoor outsoles."
Quest 4D 3 GTX Hiking Boots - Men's,footwear,hiking-footwear,Salomon,230,"Get to your next campsite with dry, happy feet in the Salomon Quest 4D 3 GTX men's hiking boots. With technology designed to help reduce fatigue, they lend support for your backpacking treks."
Flurry Snow Boots - Kids',footwear,kids-footwear,Sorel,39.93,"Sorel Flurry snow boots for kids are a necessity for winter play, offering warm and dry protection for tromping through the mountains or building a snowman in the backyard."
Tumble 3 mtnGLO Tent,camping-and-hiking,tents,Big Agnes,197.93,"Winner of Backpacker's 2015 Editors' Choice Award for its built-in LED lights, this 3-person, 3-season tent will light up your backcountry trip with a click of a button."
Original Boots - Women's,footwear,womens-footwear,Kodiak,104.93,"Crafted with waterproof leather, a waterproof membrane and sealed seams, the Kodiak Original boots for women keep your feet dry and warm in inclement weather."
Original Boots - Women's,footwear,boots,Kodiak,104.93,"Crafted with waterproof leather, a waterproof membrane and sealed seams, the Kodiak Original boots for women keep your feet dry and warm in inclement weather."
ICEtrekkers Diamond Grip Traction System,footwear,footwear-accessories,Yaktrax,41.95,"The ICEtrekkers Diamond Grip traction system easily attaches to a variety of footwear for enhanced, aggressive traction on winter outings, hikes and snow shoveling adventures."
Whisper Sandals - Women's,footwear,sandals,KEEN,90,"Elastic cording gives these lightweight performance sandals a secure fit, in or out of the water, and the washable uppers make cleaning the KEEN Whisper sandals a breeze."
ColdPack Ice+ Winter Shoes - Men's,footwear,mens-footwear,Merrell,79.83,"Winter weather doesn't stand a chance when you slip your feet into the Merrell ColdPack Ice+ shoes. Enjoy reliable traction, warm fleece linings and waterproof protection for icy weather."
Parallel Max Polarized Sunglasses,camping-and-hiking,sunglasses,Smith,139,"Providing maximum coverage, these Smith Parallel Max polarized interchangeable sunglasses allow unobstructed peripheral vision&#8212;ideal for trail running, cycling or a day on the boat."
Mt. Bachelor Pad Dog Bed,camping-and-hiking,dog-gear,Ruffwear,89.95,"The Ruffwear Mt. Bachelor Pad is a low-profile, portable bedroll that gives your dog a sense of home in different environments."
Lightweight Compression Stuff Sack,camping-and-hiking,gear-storage-and-maintenance,REI Co-op,26.95,This REI Co-op Lightweight Compression stuff sack provides a convenient way to compress your sleeping bag so it takes up less space in your pack.
DoubleNest Hammock,camping-and-hiking,camp-furniture,ENO,69.95,"Light and compact enough for backpacking, yet robust enough for backyard luxury, the popular ENO DoubleNest Hammock sets up in seconds and has plenty of room for 2."
Building Your Own Climbing Wall,books-and-maps,how-to-and-instructional-books,FalconGuides,18.95,"With full-color photos, illustrations and examples, <i>Building Your Own Climbing Wall</i> is the complete reference for climbers who want to build a home climbing wall."
Wild: From Lost to Found on the Pacific Crest Trail - Paperback,books-and-maps,adventure-books,Random House Inc.,15.95,<i>Wild: From Lost to Found on the Pacific Crest Trail</i> chronicles the redemptive journey of author Cheryl Strayed along a stretch of the PCT from the Mojave Desert through Washington State.
Hiking Guide and Trail Map Bundle: Yellowstone,books-and-maps,guidebooks,FalconGuides,19.95,The <i>Hiking Guide and Trail Map Bundle: Yellowstone</i> includes <i>Best Easy Day Hikes: Yellowstone National Park</i> and a Trails Illustrated Yellowstone National Park trail map.
Topo U.S. 24K West microSD Card,books-and-maps,maps,Garmin,100,"The Garmin Topo U.S. 24K West microSD card adds detailed topo map coverage of California, Hawaii, Nevada, Oregon and Washington to your Garmin GPS receiver."
eVent Compression Dry Sack,camping-and-hiking,stuff-sacks,Sea to Summit,49.95,"This valve-free compression dry sack uses a breathable base made of eVent&#8482; waterproof fabric that allows air to be pushed out, but keeps water from entering."
The Casey Camera and Accessory Case,packs-and-bags,cases,GoPro,50,"This padded, water-resistant GoPro travel solution fits inside your backpack, yet sports plenty of space for 2 or more HERO cameras (sold separately) and all your favorite mounts and accessories."
Snowshot 3-in-1 Jacket - Men's,mens-clothing,mens-jackets,Patagonia,399,"When conditions change faster than you can find powder lines, the Patagonia 3-in-1 Snowshot jacket lets you wear a waterproof shell or insulated liner&#8212;or both together for really cold weather."
Black Hole Duffel - 60L,packs-and-bags,bags,Patagonia,129,"A burly workhorse, the 60-liter Patagonia Black Hole duffel hauls and protects your gear with plenty of space for a fun weekend or an extended trip."
Rev 6 Hydration Pack - 1.5 Liters,packs-and-bags,packs,Osprey,29.73,"With minimalist design, technical details and room for your essentials, the Osprey Rev 6 hydration pack helps keep you hydrated so you can cover long distances quickly on foot."
Penguin and Pinecone: A Friendship Story,books-and-maps,kids-books,None,14.98,"Perfect for a fireside evening, kids will be captivated by <i>Penguin and Pinecone</i>, a tale of friendship between unlikely characters. Bold illustrations hold the interest of younger non-readers."
X Ultra 2 Low GTX Hiking Shoes - Men's,footwear,shoes,Salomon,108.93,"Perfect for fast hiking on and off trails, the Salomon X Ultra 2 Low GTX hiking shoes sport Gore-Tex&#174; waterproof/breathable performance along with underfoot support, stability and protection."
Boulder No Fly Zone Light Hike Crew Socks - Women's,footwear,socks,Farm to Feet,9.83,"Made in the USA with all-American components, the Women’s Farm to Feet Boulder No Fly Zone&#8482; Light Hike crew socks offer cool, cushioned hiking comfort and built-in insect repellency."
Nakiska Slippers - Women's,footwear,slippers,Sorel,70,Slide your feet into these soft Nakiska sheepskin slippers from Sorel for the ultimate in snuggly comfort.
Moab FST Mid WP Hiking Boots - Men's,footwear,hiking-footwear,Merrell,79.83,"The waterproof Merrell Moab FST Mid WP hiking boots deliver all-day comfort with the same great out-of-the-box fit you expect from Moab, along with updated athletic styling and lighter midsoles."
Snow Commander Winter Boots - Toddlers',footwear,kids-footwear,Sorel,29.93,"Equip your small ones to get after the snow with the best of them with the toddlers' Sorel Snow Commander winter boots. Heel cups, hook-and-loop straps and 200g insulation provide a warm fit."
Quarter Dome 1 Tent,camping-and-hiking,tents,REI Co-op,279,"Completely redesigned, the REI Co-op Quarter Dome 1 tent combines new architecture and rugged, lightweight materials to make a single-person backpacking tent that's amazingly roomy and easy to set up."
Renegade GTX Mid Hiking Boots - Women's,footwear,womens-footwear,Lowa,230,"Winner of the 2014 OudoorGearLab Editors' Choice award, these women's hiking boots provide waterproof protection and excellent support at a low weight for weekend backpacking trips or long day hikes."
Moab FST Mid WP Hiking Boots - Men's,footwear,boots,Merrell,79.83,"The waterproof Merrell Moab FST Mid WP hiking boots deliver all-day comfort with the same great out-of-the-box fit you expect from Moab, along with updated athletic styling and lighter midsoles."
Rocky Mountain High Gaiters,footwear,footwear-accessories,Outdoor Research,45,"Simple and lightweight, the Outdoor Research Rocky Mountain High Gaiters&#8482; are the perfect choice for hikers, backpackers and cross-country skiers."
Dauntless Posted Sandals - Women's,footwear,sandals,KEEN,48.83,"A pop of color and rich textures make the KEEN Dauntless Posted sandals stand out. Stretchy straps and a cushy footbed make them feel fantastic, too."
Quest 4D 3 GTX Hiking Boots - Men's,footwear,mens-footwear,Salomon,230,"Get to your next campsite with dry, happy feet in the Salomon Quest 4D 3 GTX men's hiking boots. With technology designed to help reduce fatigue, they lend support for your backpacking treks."
Peahi Polarized Sunglasses - Black,camping-and-hiking,sunglasses,Maui Jim,229,"Like the bay they were named for, the Maui Jim Peahi sunglasses boost colors in a big way, shading your eyes from the sun's harmful rays and reducing glare from water, sand and snow."
Float Coat Dog PFD,camping-and-hiking,dog-gear,Ruffwear,79.95,"Help your dog stay buoyant on the water next time you take her out for a paddle, swim or surf session with this Ruffwear Float Coat dog PFD. It's designed for dogs of all shapes and sizes."
StraightJacket Compression Sack,camping-and-hiking,gear-storage-and-maintenance,Osprey,25.93,"The StraightJacket Compression Sack keeps your gear compressed and organized inside your pack or travel luggage. Available in 4 different sizes, they are rectangular in shape for easy packing."
Chair Zero,camping-and-hiking,camp-furniture,Helinox,119.95,"The Chair Zero is a light, comfortable, four-legged camp chair that packs down no bigger than most water bottles."
Outdoor Knots - Waterproof Plastic Fan Pack,books-and-maps,how-to-and-instructional-books,None,5.95,"Learn the 20 best knots to cover every rope-tying situation. <i>Outdoor Knots</i> features easy-to-read, step-by-step drawings on waterproof plastic cards."
My First Summer in the Sierra - Hardcover,books-and-maps,adventure-books,None,30,The 100th anniversary edition of <i>My First Summer in the Sierra</i> combines breathtaking photography of the High Sierra with John Muir's classic prose.
The Needles of Rushmore: Climbing in South Dakota's Mt. Rushmore National Memorial,books-and-maps,guidebooks,None,35.95,"Friendly, informative and fully comprehensive, <i>Needles of Rushmore</i> fills you in on how to get started climbing in and around the beautiful Rushmore Memorial of South Dakota."
Topo U.S. 24K Southwest microSD Card,books-and-maps,maps,Garmin,100,"The Garmin Topo U.S. 24K West microSD card adds detailed topo map coverage of Arizona, Colorado, New Mexico and Utah to your Garmin GPS receiver."
Ultra-Sil Compression Dry Sack,camping-and-hiking,stuff-sacks,Sea to Summit,49.95,"The lightweight, waterproof Sea to Summit Ultra-Sil&#174; Compression Dry Sack compresses your clothing and gear to 1/3 the volume while keeping it dry."
aLOKSAK Waterproof Bags - Package of 4,packs-and-bags,cases,LOKSAK,14.5,"Protect your electronics and valuables in this set of 4 lightweight yet waterproof, flexible and strong aLOKSAK bags."
Down Sweater - Men's,mens-clothing,mens-jackets,Patagonia,229,"This down sweater delivers ultralight, compressible warmth for your cold-weather fun outside while everyone else is languishing at the gym or huddled by the fireplace."
Black Hole 25L Daypack,packs-and-bags,bags,Patagonia,129,"Urban aesthetic meets alpine ruggedness in the Black Hole 25-liter daypack. Incredibly water-resistant, it protects your climbing, commuting or beach gear in all but the wettest conditions."
Farpoint 55 Travel Pack,packs-and-bags,packs,Osprey,180,"Lightweight, streamlined and full-featured, the Osprey Farpoint 55 is an ideal travel pack for fast-moving globetrotters."
The Not-For-Parents Travel Book,books-and-maps,kids-books,Lonely Planet Guides,19.98,"In pages of <i>The Not-For-Parents Travel Book</i> are the epic events, amazing animals, hideous histories, funky foods and crazy facts that make the world's 200 countries so fascinating for kids."
Speedcross 4 Trail-Running Shoes - Women's,footwear,shoes,Salomon,130,"Ideal for off-road adventure racing, the women's Salomon Speedcross 4 trail-running shoes offer a lower silhouette and improved traction on muddy singletrack, dusty roads and snow fields."
Tall Down Socks - Women's,footwear,socks,Hunter,31.83,"Hunter Tall down socks protect your feet and lower legs from chilly temperatures as you splash through rain, mud and slush. The quilted, down-insulated boot socks enhance fit while adding warmth."
Prism Booties - Women's,footwear,slippers,MONTANE,39.93,MONTANE Prism women's camp booties are a luxurious way to end a long day of hiking or backpacking. They offer warm PrimaLoft&#174; Gold Eco insulation and packable comfort around your tent site.
X Ultra 2 Low GTX Hiking Shoes - Men's,footwear,hiking-footwear,Salomon,108.93,"Perfect for fast hiking on and off trails, the Salomon X Ultra 2 Low GTX hiking shoes sport Gore-Tex&#174; waterproof/breathable performance along with underfoot support, stability and protection."
Z/1 Sandals - Kids',footwear,kids-footwear,Chaco,60,"Machine washable and durable, this kids' version of the classic Chaco Z/1 Sandals can handle anything your kids can put them through on a summer camping trip or day at the beach."
Half Dome 2 Plus Tent - 2017,camping-and-hiking,tents,REI Co-op,199,"Lightweight and weather worthy, the extra roomy Half Dome 2 Plus tent offers many comfortable touches for 2 backpackers, along with an expressive twist&#8212;you can choose from different fly colors."
Quest 4D II GTX Hiking Boots - Women's,footwear,womens-footwear,Salomon,179.93,"Trek in comfort with these women's hiking boots. They're nimble, supportive and light like running shoes, but sturdy enough for long hauls under heavy loads."
Renegade GTX Mid Hiking Boots - Women's,footwear,boots,Lowa,230,"Winner of the 2014 OudoorGearLab Editors' Choice award, these women's hiking boots provide waterproof protection and excellent support at a low weight for weekend backpacking trips or long day hikes."
Crocodile Gaiters - Men's,footwear,footwear-accessories,Outdoor Research,85,"The Outdoor Research Crocodile&#174; gaiters keep snow out of your boots while snowshoeing, cross-country skiing or climbing glaciated mountains."
Z/1 Classic Sandals - Men's,footwear,sandals,Chaco,105,"Streamlined and dependable since 1989, the Chaco Z/1 Classic sandals have only 8 component parts, making for the simple, timeless sandal design that made the Chaco name."
Moab FST Mid WP Hiking Boots - Men's,footwear,mens-footwear,Merrell,79.83,"The waterproof Merrell Moab FST Mid WP hiking boots deliver all-day comfort with the same great out-of-the-box fit you expect from Moab, along with updated athletic styling and lighter midsoles."
Stingray Polarized Sunglasses,camping-and-hiking,sunglasses,Maui Jim,229,Keep out the stinging glare of the sun with color-boosting Stingray sunglasses with Maui Jim PolarizedPlus2&#174; technology.
Approach Dog Pack,camping-and-hiking,dog-gear,Ruffwear,79.95,"A dog pack that's ideal for day hikes and overnight adventures, the Ruffwear Approach dog pack lets your 4-legged friend help out with the gear load."
Pumphouse Ultra,camping-and-hiking,gear-storage-and-maintenance,Big Agnes,34.95,"The lightweight Big Agnes Pumphouse Ultra is a multi-use sleeping pad inflation pump that doubles as a backcountry shower, camp pillow, compression stuff sack and dry bag."
Flexlite Macro Chair,camping-and-hiking,camp-furniture,REI Co-op,99.95,"Supportive and easy-to-pack, the REI Co-op Flexlite Macro Chair offers a deep, comfortable seat with generous support and lightweight construction that's perfect for camping."
"The Lodge Cast Iron Cookbook: A Treasury of Timeless, Delicious Recipes",books-and-maps,how-to-and-instructional-books,None,24.95,<i>The Lodge&#174; Cast Iron Cookbook</i> will become an instant favorite with fantastic recipes and excerpts featuring personal stories of how cast iron skillets can become part of family histories.
